No.,Trigpoint Name,TP:UK Reference & Link,Trig Type,Condition,Height (m),Grid Ref
66,Feltwell North,TP7554,Pillar,Good,0.0,TL7146589511
67,Mepal South,TP7553,Pillar,Good,0.0,TL4450179830
68,Bardney West,TP7541,Pillar,Moved,16.1,TF1392371573
69,Driffield East,TP7540,Pillar,Good,0.0,SE9924157286
70,Leyland National Works,TP7511,Pillar,Moved,0.0,NY0211325764
71,Whelford,TP7503,Pillar,Moved,0.0,SP1733400368
72,Tregustick,TP7491,Pillar,Damaged,0.0,SW8335363719
73,Loch-na-Brae,TP7479,Pillar,Good,0.0,NS2301388785
74,Whitelyne Common [old],TP7475,Pillar,Toppled,518.8,NY6014080922
75,Driffield West,TP7473,Pillar,Moved,0.0,SE9880357139
76,Great Glen Project Station I,TP7463,Pillar,Good,0.0,NH3794409612
77,Great Glen Project Station Q,TP7462,Pillar,Slightly damaged,0.0,NH3745308915
78,Great Glen Project Station H,TP7461,Pillar,Good,0.0,NH3558109575
79,Winkfield,TP7460,Pillar,Good,0.0,SU9067672568
80,Eilean Furadh Mor,TP7453,Pillar,Good,0.0,NG7996793261
81,Great Glen Project Station E,TP7449,Pillar,Good,0.0,NH3483310630
82,Great Glen Project Station F,TP7448,Pillar,Good,0.0,NH3570511104
83,Great Glen Project Station P,TP7447,Pillar,Slightly damaged,0.0,NH3670910896
84,Great Glen Project Station G,TP7446,Pillar,Good,0.0,NH3656210071
85,Great Glen Project Station L,TP7445,Pillar,Good,0.0,NH3706806002
86,Great Glen Project Station O,TP7444,Pillar,Slightly damaged,0.0,NH3928905153
87,Great Glen Project Station M,TP7443,Pillar,Slightly damaged,0.0,NH3892506154
88,Great Glen Project Station N,TP7442,Pillar,Good,0.0,NH3824504183
89,White Caterthun,TP7435,Pillar,Converted,298.1,NO5478566036
90,Greenham Common,TP7431,Pillar,Toppled,118.8,SU4990665278
91,Sitheanan Dubha,TP7426,Pillar,Good,0.0,NG8433089844
92,Beinn Bhuidhe,TP7425,Pillar,Remains,948.5,NN2036918719
93,Zeneca - Verdley House,TP7421,Pillar,Good,0.0,SU8970027000
94,Crug Yr Afan,TP7409,Pillar,Remains,0.0,SS9203595455
95,Ballycultra,TP7407,Pillar,Slightly damaged,0.0,NW5482034067
96,Cairngaver (OSNI),TP7406,Pillar,Good,0.0,NW5800231024
97,Standard Hill,TP7405,Pillar,Good,0.0,NW5428532276
98,Squire,TP7402,Pillar,Good,0.0,NW4336334628
99,Black Mountain North,TP7401,Pillar,Damaged,0.0,NW4185330701
100,Black Mountain South,TP7400,Pillar,Good,0.0,NW4075928937
101,Carn Hill,TP7399,Pillar,Good,0.0,NW4835244459
102,Howth Head,TP7398,Pillar,Good,0.0,SG2942093994
103,Carnmoney Hill,TP7397,Pillar,Slightly damaged,0.0,NW4640038543
104,Muldersleigh,TP7396,Pillar,Good,0.0,NW6199647996
105,Carninard,TP7395,Pillar,Good,0.0,NW4597153908
106,Great Glen Project Station K / Tomamhoid,TP7381,Pillar,Good,0.0,NH3866108010
107,Conival,TP7375,Pillar,Remains,987.9,NC3033119937
108,Ploc an t-Slagain,TP7372,Pillar,Good,0.0,NG8358993752
109,Newcastle University,TP7365,Pillar,Good,0.0,NZ2462165015
110,Truskmore (OSI),TP7361,Pillar,Slightly damaged,0.0,MZ8638316308
111,Kippure New,TP7359,Pillar,Good,0.0,SG1064773311
112,Carmeen,TP7358,Pillar,Good,0.0,SB2645383085
113,Slieve Muck,TP7357,Pillar,Good,0.0,SB3635581117
114,Slieve Foye,TP7355,Pillar,Slightly damaged,0.0,SB2408869118
115,Corn Hill,TP7354,Pillar,Slightly damaged,0.0,SA2387049718
116,Black Mountain,TP7353,Pillar,Toppled,0.0,SB1742473400
117,Slieve Gullion,TP7352,Pillar,Slightly damaged,0.0,SB1041278637
118,Knockiveagh,TP7351,Pillar,Slightly damaged,0.0,SB2760594713
119,Sawel,TP7350,Pillar,Slightly damaged,0.0,NV7641858855
120,Trostan,TP7349,Pillar,Good,0.0,NW3465980253
121,Slieve Snaght,TP7348,Pillar,Damaged,0.0,NQ6075802113
122,Muckish Mountain,TP7347,Pillar,Slightly damaged,0.0,NV1787795441
123,Cuilcagh,TP7344,Pillar,Good,0.0,SA2119193960
124,Birreencorragh,TP7343,Pillar,Remains,0.0,RE0950480322
125,Hungry Hill (OSI),TP7341,Pillar,Good,0.0,RO6180027500
126,Seefin,TP7339,Pillar,Toppled,0.0,SL1762971965
127,Ballycreen (Croaghanmoira Mountain),TP7338,Pillar,Damaged,0.0,SG0655044599
128,Seahan,TP7337,Pillar,Slightly damaged,0.0,SG0753477850
129,Cupidstown Hill,TP7336,Pillar,Good,0.0,SG0013279376
130,Lugnaquillia,TP7335,Pillar,Damaged,0.0,SG0032050418
131,Great Treffgarne,TP7332,Pillar,Moved,163.5,SM9447424227
132,Bustard North-east,TP7331,Pillar,Good,141.2,SU1020046300
133,Rubha nan Sasan,TP7330,Pillar,Slightly damaged,0.0,NG8151191903
134,Sgorr Dhearg,TP7328,Pillar,Remains,1024.7,NN0568355846
135,Sgurr a'Mhuilinn,TP7327,Pillar,Damaged,0.0,NH2646455746
136,Hey Edge,TP7322,Pillar,Slightly damaged,424.0,SE0803000440
137,Mansfield West Notts College,TP7316,Pillar,Slightly damaged,0.0,SK5403058512
138,Manod Mawr,TP7311,Pillar,Remains,661.7,SH7239044658
139,Upton Beacon Connecting Point,TP7135,Pillar,Good,0.0,SE4738513992
140,Ty-Bronna,TP7134,Pillar,Good,76.8,ST1290877594
141,Tripsy Bank,TP7132,Pillar,Good,152.1,NZ2131436806
142,Thoresway,TP7131,Pillar,Good,132.1,TF1570597780
143,Skirlington,TP7130,Pillar,Good,22.0,TA1917052214
144,Rose Bank,TP7129,Pillar,Good,153.2,NY6007830153
145,New Farm,TP7125,Pillar,Good,76.8,TL3517652527
146,Laurencekirk,TP7124,Pillar,Good,76.4,NO7267272409
147,Dagnam Park New,TP7121,Pillar,Good,75.6,TQ5506292397
148,Tre-Tio,TP7120,Pillar,Good,102.1,SM7864829362
149,Nether Hall,TP7117,Pillar,Good,30.6,TM1432730941
150,Littlebury Hedge,TP7115,Pillar,Slightly damaged,111.9,TL5006439831
151,Ballageich Hill,TP7112,Pillar,Converted,332.2,NS5315450176
152,Zennor Cliff,TP7111,Pillar,Good,95.7,SW4497639174
153,Ysgwd Ffordd,TP7110,Pillar,Good,440.1,SO0836373536
154,Ysgubor-Fawr,TP7109,Pillar,Good,114.8,SH3781440736
155,Yr Allt,TP7108,Pillar,Good,333.5,SO0859430728
156,Yr Allt,TP7107,Pillar,Slightly damaged,228.3,SJ2429410249
157,Young Jeanies Wood,TP7106,Pillar,Good,0.0,NT7455355115
158,York Hill,TP7105,Pillar,Good,63.8,SE3658452589
159,Yockenthwaite Moor,TP7104,Pillar,Damaged,643.1,SD9090881094
160,Ynys Cerig-Duan,TP7103,Pillar,Good,19.5,SH5728639076
161,Yew Tree Heath,TP7102,Pillar,Good,29.6,SU3628106388
162,Yes Tor,TP7101,Pillar,Good,619.1,SX5809090145
163,Yelvertoft,TP7100,Pillar,Good,127.6,SP5897875802
164,Yellow Hill,TP7099,Pillar,Good,197.0,NO1537609139
165,Yell,TP7098,Pillar,Good,205.4,HU5008785096
166,Yearngill Head,TP7096,Pillar,Good,550.5,NT0138320254
167,Yarnbury Castle,TP7095,Pillar,Good,167.3,SU0372640287
168,Yards Hill,TP7094,Pillar,Good,41.6,SU3696509693
169,Yardley Hastings,TP7093,Pillar,Good,0.0,SP8337855747
170,Yanley,TP7092,Pillar,Slightly damaged,86.3,ST5494069427
171,Y Golfa,TP7091,Pillar,Good,341.7,SJ1824807087
172,Wymondham,TP7090,Pillar,Damaged,132.8,SK8507519696
173,Wylfre,TP7088,Pillar,Good,410.6,SO1161052069
174,Wyke,TP7087,Pillar,Toppled,164.5,SE1657927365
175,Wycomb,TP7086,Pillar,Good,142.4,SK7730124228
176,Wyck Beacon,TP7085,Pillar,Damaged,250.3,SP2019020793
177,Wroughton,TP7084,Pillar,Good,208.4,SU1286579420
178,Wrotham,TP7083,Pillar,Good,235.2,TQ5932360005
179,Wrockwardine Wood,TP7082,Pillar,Good,137.4,SJ7009612153
180,Wreighill Pike,TP7081,Pillar,Good,219.2,NT9808402183
181,Wraxall,TP7080,Pillar,Good,136.6,ST4806272681
182,Wragg Marsh,TP7079,Pillar,Slightly damaged,7.4,TF2917730355
183,Worton,TP7078,Pillar,Good,85.2,ST9879956357
184,Worthy Hill Farm,TP7077,Pillar,Good,134.7,SU0198988149
185,Worthy Down,TP7076,Pillar,Good,121.3,SU4582735525
186,Wormsley Hill,TP7074,Pillar,Good,239.7,SO4231247154
187,Wormingford,TP7073,Pillar,Good,69.4,TL9259431581
188,Wormhill,TP7072,Pillar,Good,403.4,SK1072175621
189,Worm Hill,TP7071,Pillar,Good,541.6,NT1112330723
190,Worlds Hill,TP7070,Pillar,Good,351.0,SE0227341802
191,Wootton Wold,TP7069,Pillar,Good,61.0,TA0588915016
192,Wootton Hill Farm,TP7068,Pillar,Good,99.6,SP1412563691
193,Woore Resr,TP7067,Pillar,Good,170.3,SJ7224942202
194,Woolsbarrow Camp,TP7066,Pillar,Good,67.0,SY8925192510
195,Woolpit,TP7065,Pillar,Good,78.4,TL9963562292
196,Woolley Edge,TP7064,Pillar,Good,0.0,SE3067013436
197,Woolfox,TP7063,Pillar,Good,107.6,SK9549714818
198,Woolbury Ring,TP7062,Pillar,Good,158.7,SU3812435272
199,Woolbeding,TP7061,Pillar,Slightly damaged,183.9,SU8679326404
200,Woolaston,TP7060,Pillar,Good,10.3,ST6001998578
201,Wool Camp,TP7059,Pillar,Good,88.4,SY8291091045
202,Woodstock,TP7058,Pillar,Good,195.9,SN0261926169
203,Woodside Of Cairnty,TP7057,Pillar,Good,164.7,NJ3316753160
204,Woodside,TP7056,Pillar,Slightly damaged,48.7,SJ6336460730
205,Woodperry,TP7055,Pillar,Good,0.0,SP5702309922
206,Woodoak Farm,TP7054,Pillar,Good,81.8,TQ0273693277
207,Woodmans Hill,TP7053,Pillar,Good,51.4,TQ1535117996
208,Woodlands Farm,TP7051,Pillar,Good,107.1,SP3427587837
209,Woodlands,TP7050,Pillar,Good,114.3,NO7846896165
210,Woodland,TP7049,Pillar,Good,369.6,NZ0532425404
211,Woodhouse Gate,TP7048,Pillar,Good,199.4,SD7125854038
212,Woodhouse Farm,TP7047,Pillar,Good,130.5,SE3374038994
213,Woodhall Hill,TP7045,Pillar,Good,197.3,SE2000135777
214,Woodgarston,TP7044,Pillar,Good,170.2,SU5862855239
215,Woodford,TP7042,Pillar,Toppled,156.3,SU1012735524
216,Woodford,TP7041,Pillar,Damaged,159.9,ST0682238736
217,Woodfield,TP7040,Pillar,Good,48.5,TL9400625250
218,Woodfield,TP7039,Pillar,Good,157.1,NX8555986896
219,Woodcock Air Hill,TP7038,Pillar,Good,129.2,NY1702972234
220,Woodbury Hill,TP7037,Pillar,Good,106.4,SY8567394611
221,Woodbury Common,TP7036,Pillar,Good,176.4,SY0388088098
222,Woodbridge,TP7035,Pillar,Moved,0.0,TM2897248968
223,Woodbank Farm,TP7034,Pillar,Good,52.3,NT3395398841
224,Wood Of Barna,TP7033,Pillar,Good,128.2,NO6314873175
225,Wood Hill,TP7032,Pillar,Good,119.4,NH6923153142
226,Wood Fell,TP7031,Pillar,Good,83.3,NX4012359468
227,Wood Close,TP7029,Pillar,Good,197.3,SK8270808527
228,Wonwell,TP7028,Pillar,Good,119.5,SX6020051149
229,Womblehill,TP7026,Pillar,Good,101.3,NJ7804813803
230,Wolvey Heath,TP7025,Pillar,Good,130.9,SP4444589556
231,Wolves Farm,TP7024,Pillar,Good,72.7,TM0442643851
232,Wolverley Road Nursery,TP7023,Pillar,Good,57.6,SO8237278289
233,Wolstonbury Hill,TP7022,Pillar,Good,206.7,TQ2839813837
234,Wolgarston,TP7021,Pillar,Good,106.0,SJ9376413907
235,Wolfstones Height,TP7020,Pillar,Good,323.6,SE1247209079
236,Wolfscote Hill,TP7019,Pillar,Good,388.1,SK1370558323
237,Wolfhole Crag,TP7018,Pillar,Good,527.9,SD6336857845
238,Wolferton,TP7017,Pillar,Good,40.4,TF6606927872
239,Wolfelee Hill,TP7016,Pillar,Good,392.9,NT5971508474
240,Wolfcleugh Common,TP7015,Pillar,Slightly damaged,607.5,NY8679042961
241,Wolf Hall,TP7014,Pillar,Good,100.9,TL7716861578
242,Wold Barn,TP7013,Pillar,Good,190.0,SE9226374981
243,Witton Fell,TP7012,Pillar,Good,350.5,SE1328685058
244,Wittantree,TP7011,Pillar,Good,265.4,SO8995607388
245,Withypool Common,TP7010,Pillar,Good,428.3,SS8182935085
246,Withins Height,TP7008,Pillar,Good,444.1,SD9778835754
247,Withington Hill,TP7007,Pillar,Good,289.7,SP0108816679
248,Witheridge Moor,TP7006,Pillar,Good,231.5,SS8593815076
249,Wistow,TP7004,Pillar,Good,123.2,SP6447994674
250,Wirestone,TP7003,Pillar,Good,318.5,SK3214363385
251,Winterslow,TP7002,Pillar,Toppled,162.6,SU2420133623
252,Winstone,TP7001,Pillar,Good,253.3,SO9696609894
253,Winshields,TP7000,Pillar,Good,345.3,NY7421367564
254,Winsford Hill,TP6999,Pillar,Slightly damaged,427.5,SS8769034275
255,Winnowshill Common,TP6998,Pillar,Good,313.9,NY9817254754
256,Winkton Common,TP6996,Pillar,Good,3.0,SZ1590294590
257,Winhill Pike,TP6995,Pillar,Good,462.7,SK1867885093
258,Wingate Hill,TP6994,Pillar,Good,61.2,SE4738341026
259,Windyheads Hill,TP6993,Pillar,Good,231.6,NJ8531961939
260,Windycote,TP6992,Pillar,Good,281.4,SJ9616446472
261,Windy Standard East,TP6991,Pillar,Damaged,698.3,NS6201101469
262,Windy Hill,TP6990,Pillar,Slightly damaged,385.7,NY7498804086
263,Windy Hill,TP6989,Pillar,Good,278.9,NS0434969850
264,Windy Gyle,TP6988,Pillar,Good,620.6,NT8553715214
265,Windy Gate,TP6987,Pillar,Slightly damaged,294.4,NT0014448586
266,Windy Bank,TP6986,Pillar,Good,236.5,SD7048731082
267,Windrigg Hill,TP6985,Pillar,Good,313.0,NY5827417679
268,Windover,TP6984,Pillar,Slightly damaged,194.2,SJ2578260677
269,Windmill Hill Resr,TP6983,Pillar,Good,58.4,ST5493135273
270,Windmill Hill Farm,TP6982,Pillar,Damaged,126.2,SP3263847439
271,Windmill Hill,TP6981,Pillar,Good,57.1,TQ6466812101
272,Windmill Hill,TP6980,Pillar,Damaged,24.9,SK8375962795
273,Windmill Hill,TP6979,Pillar,Good,164.7,SX8532959364
274,Windmill Hill,TP6978,Pillar,Good,193.3,SU7158916109
275,Windmill Hill,TP6977,Pillar,Moved,0.0,SP8459424297
276,Windmill Hill,TP6976,Pillar,Converted,108.7,SP3485859352
277,Windmill Hill,TP6975,Pillar,Good,34.1,SO7896915873
278,Windmill Hill,TP6974,Pillar,Good,130.7,SO6059848774
279,Windmill Hill,TP6973,Pillar,Good,140.2,SK5054243307
280,Windmill Golf Course,TP6972,Pillar,Good,152.1,SX8760062336
281,Windmill Farm,TP6971,Pillar,Good,118.4,TQ6723337897
282,Windmill Farm,TP6970,Pillar,Good,139.7,ST7182129044
283,Windmill Down,TP6969,Pillar,Good,253.0,SS8883710633
284,Windmill Bank,TP6968,Pillar,Good,127.3,SJ7916018575
285,Windmill,TP6967,Pillar,Good,5.6,TA3508219753
286,Windleway,TP6966,Pillar,Good,179.0,SN2427011476
287,Windlestraw Law,TP6965,Pillar,Slightly damaged,659.6,NT3715343124
288,Windlaw,TP6964,Pillar,Slightly damaged,138.8,NS5947058197
289,Winder Hill,TP6962,Pillar,Good,473.7,SD6539393272
290,Windberry Top,TP6961,Pillar,Good,117.2,SN1134809023
291,Wind Hill,TP6960,Pillar,Good,231.1,NY6870688830
292,Wincote,TP6959,Pillar,Good,151.4,SJ8202727139
293,Wimbury,TP6957,Pillar,Good,76.8,SO8502177352
294,Wiltonburn Hill,TP6956,Pillar,Good,282.6,NT4744015126
295,Wilsford Heath,TP6955,Pillar,Good,91.0,SK9944441662
296,Wilpshire Moor,TP6954,Pillar,Good,235.1,SD7016832548
297,Wilmington Hill,TP6953,Pillar,Good,214.2,TQ5483103429
298,Willow,TP6951,Pillar,Good,9.7,TA3209825933
299,Willoughby,TP6950,Pillar,Good,88.1,SK6270325987
300,Willingham Hill,TP6949,Pillar,Good,28.4,SK8407882361
301,Willingdon Hill,TP6948,Pillar,Slightly damaged,201.2,TQ5771200939
302,William Law,TP6947,Pillar,Good,400.9,NT4791839799
303,Willesley Resr,TP6946,Pillar,Good,138.1,SK3436613811
304,Wilds Farm,TP6944,Pillar,Good,126.7,SP6265937091
305,Wild Boar Fell,TP6943,Pillar,Slightly damaged,708.7,SD7579598827
306,Wild Bank,TP6942,Pillar,Good,399.3,SJ9887698005
307,Wigpool Common,TP6941,Pillar,Good,278.8,SO6551719211
308,Wighay Farm,TP6940,Pillar,Good,107.6,SK5258250503
309,Widworthy Hill,TP6939,Pillar,Good,224.5,SY2155398733
310,Widmere,TP6938,Pillar,Slightly damaged,130.6,SU8373988840
311,Widewalls,TP6937,Pillar,Good,263.4,SX1172280837
312,Wideford Hill,TP6936,Pillar,Good,225.6,HY4115311616
313,Wickham,TP6935,Pillar,Good,166.6,SU4012371518
314,Wickenby Bridge,TP6934,Pillar,Good,25.6,TF0799181866
315,Wick Down,TP6933,Pillar,Good,114.6,SU1360021556
316,Wick Down,TP6932,Pillar,Good,184.6,SU2610453032
317,Wibben Hill,TP6930,Pillar,Good,249.7,SK1837452247
318,Wiay (South Uist),TP6929,Pillar,Good,102.4,NF8709046337
319,Wiay (Skye),TP6928,Pillar,Good,0.0,NG2932235583
320,Whorlton Moor,TP6927,Pillar,Slightly damaged,408.1,NZ5193302584
321,Whorley Resr,TP6926,Pillar,Good,184.5,NZ1144116575
322,Wholestone Moor,TP6925,Pillar,Good,380.2,SE0775016662
323,Whitwell Moor,TP6924,Pillar,Good,359.0,SK2497297237
324,Whitwell Grange,TP6923,Pillar,Good,94.1,SE7163267067
325,Whitwell,TP6922,Pillar,Toppled,130.8,SK5292976978
326,Whitton Rosser,TP6921,Pillar,Good,92.7,ST0760672091
327,Whitton Hill,TP6920,Pillar,Good,73.8,NT9281034584
328,Whitsunbank Hill,TP6919,Pillar,Good,167.0,NU0157227663
329,Whitley Resr,TP6918,Pillar,Good,173.7,SE2201117788
330,Whitfield,TP6916,Pillar,Good,104.4,SO5475620928
331,Whitfell,TP6915,Pillar,Good,572.1,SD1589792995
332,Whitestones,TP6914,Pillar,Good,191.7,NJ8442452847
333,Whitespots Hill,TP6913,Pillar,Good,184.1,NX9085688999
334,Whites Wood,TP6912,Pillar,Good,28.6,SK8400489229
335,Whitely,TP6911,Pillar,Good,217.7,SS3270316251
336,Whitelet,TP6910,Pillar,Good,30.5,HY5052540357
337,Whitelee Hill,TP6909,Pillar,Good,282.8,NS5462742893
338,Whitelaw Brae,TP6908,Pillar,Slightly damaged,577.6,NT0038725973
339,Whitelane End,TP6907,Pillar,Good,210.3,SK3962182957
340,Whitekirk Hill,TP6906,Pillar,Good,74.5,NT5939981886
341,Whitehouse,TP6905,Pillar,Good,97.7,SP3768494094
342,Whitehill,TP6904,Pillar,Good,247.3,NY9937385646
343,Whitehill,TP6903,Pillar,Good,368.2,NJ6402710959
344,Whitefield Down,TP6902,Pillar,Good,259.4,SS5653040296
345,Whitecote,TP6901,Pillar,Good,104.8,SE2388335742
346,Whiteburn,TP6900,Pillar,Good,234.0,NT7660464725
347,White Sheet Hill,TP6899,Pillar,Good,242.6,ST9440324256
348,White Sheet Castle,TP6898,Pillar,Good,244.9,ST8048634714
349,White Ness,TP6897,Pillar,Good,60.7,HU3875545333
350,White Moss,TP6896,Pillar,Good,245.0,SD6379364553
351,White Meldon,TP6895,Pillar,Good,427.6,NT2193442843
352,White Law,TP6894,Pillar,Good,323.2,NT5142930391
353,White Howe,TP6893,Pillar,Good,530.4,NY5236304197
354,White House Hill,TP6892,Pillar,Good,168.9,NU1612617829
355,White House Farm,TP6891,Pillar,Good,286.8,SO3996369627
356,White House,TP6890,Pillar,Good,69.1,NZ4881807273
357,White Horse Hill,TP6889,Pillar,Good,158.4,SY7121284539
358,White Horse Hill,TP6888,Pillar,Good,261.1,SU3008486375
359,White Hill Resr,TP6887,Pillar,Good,173.0,SO5953843426
360,White Hill,TP6886,Pillar,Good,87.6,SU6092384477
361,White Hill,TP6884,Pillar,Good,90.2,TA0761170951
362,White Hill,TP6883,Pillar,Good,545.3,SD6738858791
363,White Hill,TP6882,Pillar,Slightly damaged,369.7,NY3913893929
364,White Hill,TP6881,Pillar,Good,143.5,NX8776853812
365,White Hill,TP6880,Pillar,Slightly damaged,130.7,NS5114173454
366,White Grunafirth,TP6879,Pillar,Good,173.1,HU2756880731
367,White Edge,TP6878,Pillar,Good,365.1,SK2637875855
368,White Crags,TP6877,Pillar,Good,536.8,NT6976801769
369,Whitcliffe,TP6876,Pillar,Good,98.9,SE2980268530
370,Whitchurch Hill,TP6875,Pillar,Slightly damaged,127.4,ST8512500900
371,Whitcastle Hill,TP6874,Pillar,Good,331.6,NY2301388947
372,Whit Moor,TP6873,Pillar,Good,361.5,SD5837963927
373,Whit Hill,TP6872,Pillar,Good,51.5,SE4822537765
374,Whit Fell,TP6871,Pillar,Good,411.8,SE0861294584
375,Whiston Hall,TP6870,Pillar,Good,107.2,SJ7956503056
376,Whiphill,TP6869,Pillar,Good,61.8,SU8806122324
377,Whins Brow,TP6868,Pillar,Good,476.7,SD6364953294
378,Whin Hill,TP6867,Pillar,Good,174.4,NS2774074920
379,Whin Bank,TP6866,Pillar,Good,42.9,NY1449045669
380,Whimberry Hill,TP6865,Pillar,Good,343.3,SD6857313259
381,Whilton Hill,TP6864,Pillar,Good,134.9,SP6318564437
382,Wheston,TP6863,Pillar,Good,380.9,SK1384176565
383,Whelpstone Crag,TP6862,Pillar,Good,371.1,SD7594459145
384,Wheelers Vallets,TP6861,Pillar,Good,363.6,SO4690173478
385,Wheeb Hill,TP6860,Pillar,Slightly damaged,196.9,NX1726983867
386,Whaw Moor,TP6859,Pillar,Good,583.7,NY9700802691
387,Wharrels Hill,TP6858,Pillar,Good,221.2,NY1722038254
388,Wexcombe Down,TP6857,Pillar,Good,266.8,SU2776857735
389,Wetton Low,TP6856,Pillar,Good,322.5,SK1122354743
390,Wetley Moor,TP6855,Pillar,Good,273.7,SJ9344148433
391,Wether Law,TP6854,Pillar,Slightly damaged,0.0,NT6516360462
392,Wether Law,TP6853,Pillar,Slightly damaged,478.8,NT1946548376
393,Wether Hill,TP6852,Pillar,Good,301.5,NY9202790295
394,Wether Cairn,TP6851,Pillar,Good,563.0,NT9407911626
395,Westwood Hill,TP6850,Pillar,Good,262.6,SJ9484550452
396,Westwell,TP6849,Pillar,Good,130.2,TQ9827047991
397,Westside,TP6848,Pillar,Good,285.6,NY2190393067
398,Weston Hill,TP6847,Pillar,Good,320.9,SO5536182431
399,Weston Heath,TP6846,Pillar,Moved,127.1,SJ7802713056
